Date Formatted	Real Home Price Index	Nominal Home Price Index	Consumer Price Index
1890-01-01	100	3.557296	7.611652
1891-01-01	88.0117911	3.209111	7.801942
1892-01-01	95.4217362	3.267142	7.326213
1893-01-01	92.2973855	3.406416	7.897091
1894-01-01	123.980483	3.969316	6.850483
1895-01-01	117.455092	3.603721	6.565052
1896-01-01	100.30299	3.122064	6.660193
1897-01-01	106.515703	3.220717	6.469903
1898-01-01	110.18414	3.429628	6.660193
1899-01-01	103.853113	3.278748	6.755342
1900-01-01	101.574295	3.748799	7.897091
1901-01-01	87.3260955	3.145277	7.706793
1902-01-01	100.473645	3.708177	7.897091
1903-01-01	93.0748924	3.766208	8.65826
1904-01-01	101.854359	3.940301	8.277679
1905-01-01	87.2485475	3.452841	8.467929
1906-01-01	103.525167	4.096984	8.467929
1907-01-01	109.316521	4.52061	8.848509
1908-01-01	100.819182	4.079575	8.65826
1909-01-01	95.3804138	3.986725	8.943674
1910-01-01	93.1106367	4.305896	9.895165
1911-01-01	97.543336	4.207243	9.229089
1912-01-01	102.365162	4.36973	9.134005
1913-01-01	95.4085608	4.36973	9.8
1914-01-01	96.9771637	4.532216	10
1915-01-01	88.1487638	4.160818	10.1
1916-01-01	93.7248516	4.555429	10.4
1917-01-01	85.0090374	4.648278	11.7
1918-01-01	75.5666211	4.944236	14
1919-01-01	70.5137954	5.437499	16.5
1920-01-01	66.0741491	5.959777	19.3
1921-01-01	65.6143085	5.826306	19
1922-01-01	74.7961971	5.907549	16.9
1923-01-01	76.3500778	5.994596	16.8
1924-01-01	74.2869779	6.006202	17.3
1925-01-01	78.1628202	6.319569	17.3
1926-01-01	72.4906016	6.064233	17.9
1927-01-01	71.3803012	5.837912	17.5
1928-01-01	73.2821299	5.924959	17.3
1929-01-01	72.6143299	5.803094	17.1
1930-01-01	69.4919137	5.553561	17.1
1931-01-01	68.6452032	5.100919	15.9
1932-01-01	68.3371935	4.567035	14.3
1933-01-01	72.865947	4.392942	12.9
1934-01-01	73.2794111	4.52061	13.2
1935-01-01	78.069999	4.962085	13.6
1936-01-01	79.414895	5.121795	13.8
1937-01-01	79.7176178	5.253087	14.1
1938-01-01	78.4646529	5.207191	14.2
1939-01-01	78.5496849	5.139414	14
1940-01-01	81.7308063	5.309354	13.9
1941-01-01	73.8158834	4.864185	14.1
1942-01-01	68.5028268	5.02631	15.7
1943-01-01	70.9229742	5.601635	16.9
1944-01-01	80.3089958	6.530623	17.4
1945-01-01	87.7500461	7.299759	17.8
1946-01-01	106.505896	9.059123	18.2
1947-01-01	109.329671	10.98544	21.5
1948-01-01	101.22258	11.21158	23.7
1949-01-01	100.046608	11.2216	24
1950-01-01	105.894839	11.63011	23.5
1951-01-01	103.898669	12.33346	25.4
1952-01-01	103.974327	12.87695	26.5
1953-1-01	114.713309	14.26056	26.6
1953-2-01	115.14619	14.26056	26.5
1953-3-01	114.713309	14.26056	26.6
1953-4-01	114.979775	14.29369	26.6
1953-5-01	114.681872	14.31025	26.7
1953-6-01	114.253955	14.31025	26.8
1953-7-01	114.518432	14.34337	26.8
1953-8-01	114.224459	14.35994	26.9
1953-9-01	114.356206	14.3765	26.9
1953-10-01	113.932665	14.3765	27
1953-11-01	114.224459	14.35994	26.9
1953-12-01	114.224459	14.35994	26.9
1954-1-01	114.224459	14.35994	26.9
1954-2-01	114.356206	14.3765	26.9
1954-3-01	114.356206	14.3765	26.9
1954-4-01	114.65067	14.35994	26.8
