DATE,HOUST1F
1959-01-01,1336
1959-02-01,1317
1959-03-01,1254
1959-04-01,1282
1959-05-01,1213
1959-06-01,1203
1959-07-01,1256
1959-08-01,1193
1959-09-01,1275
1959-10-01,1043
1959-11-01,1163
1959-12-01,1410
1960-01-01,1211
1960-02-01,1208
1960-03-01,904
1960-04-01,1049
1960-05-01,1009
1960-06-01,1003
1960-07-01,947
1960-08-01,1091
1960-09-01,865
1960-10-01,922
1960-11-01,949
1960-12-01,841
1961-01-01,898
1961-02-01,948
1961-03-01,957
1961-04-01,879
1961-05-01,938
1961-06-01,1011
1961-07-01,1004
1961-08-01,973
1961-09-01,1052
1961-10-01,993
1961-11-01,1018
1961-12-01,1005
1962-01-01,974
1962-02-01,946
1962-03-01,979
1962-04-01,1027
1962-05-01,1032
1962-06-01,951
1962-07-01,983
1962-08-01,1053
1962-09-01,866
1962-10-01,990
1962-11-01,1080
1962-12-01,998
1963-01-01,810
1963-02-01,977
1963-03-01,962
1963-04-01,1096
1963-05-01,1071
1963-06-01,1007
1963-07-01,1031
1963-08-01,1056
1963-09-01,1106
1963-10-01,1088
1963-11-01,1032
1963-12-01,852
1964-01-01,1023
1964-02-01,1162
1964-03-01,931
1964-04-01,901
1964-05-01,947
1964-06-01,981
1964-07-01,969
1964-08-01,990
1964-09-01,957
1964-10-01,996
1964-11-01,930
1964-12-01,963
1965-01-01,902
1965-02-01,853
1965-03-01,929
1965-04-01,950
1965-05-01,949
1965-06-01,947
1965-07-01,1033
1965-08-01,958
1965-09-01,962
1965-10-01,954
1965-11-01,992
1965-12-01,1093
1966-01-01,848
1966-02-01,910
1966-03-01,950
1966-04-01,879
1966-05-01,822
1966-06-01,783
1966-07-01,739
1966-08-01,746
1966-09-01,699
1966-10-01,597
1966-11-01,679
1966-12-01,666
1967-01-01,768
1967-02-01,724
1967-03-01,757
1967-04-01,755
1967-05-01,852
1967-06-01,859
1967-07-01,875
1967-08-01,903
1967-09-01,912
1967-10-01,910
1967-11-01,942
1967-12-01,819
1968-01-01,839
1968-02-01,993
1968-03-01,912
1968-04-01,925
1968-05-01,850
1968-06-01,799
1968-07-01,923
1968-08-01,888
1968-09-01,924
1968-10-01,953
1968-11-01,877
1968-12-01,921
1969-01-01,967
1969-02-01,876
1969-03-01,836
1969-04-01,815
1969-05-01,897
1969-06-01,814
1969-07-01,792
1969-08-01,745
1969-09-01,824
1969-10-01,757
1969-11-01,740
1969-12-01,722
1970-01-01,596
1970-02-01,740
1970-03-01,726
1970-04-01,720
1970-05-01,749
1970-06-01,806
1970-07-01,818
1970-08-01,834
1970-09-01,865
1970-10-01,883
1970-11-01,926
1970-12-01,1108
1971-01-01,1004
1971-02-01,1009
1971-03-01,1078
1971-04-01,1134
1971-05-01,1151
1971-06-01,1159
1971-07-01,1148
1971-08-01,1174
1971-09-01,1155
1971-10-01,1212
1971-11-01,1225
1971-12-01,1302
1972-01-01,1409
1972-02-01,1249
1972-03-01,1320
1972-04-01,1239
1972-05-01,1275
1972-06-01,1273
1972-07-01,1290
1972-08-01,1345
1972-09-01,1399
1972-10-01,1341
1972-11-01,1332
1972-12-01,1259
1973-01-01,1431
1973-02-01,1341
1973-03-01,1237
1973-04-01,1216
1973-05-01,1220
1973-06-01,1106
1973-07-01,1178
1973-08-01,1106
1973-09-01,1019
1973-10-01,970
1973-11-01,960
1973-12-01,824
1974-01-01,813
1974-02-01,991
1974-03-01,970
1974-04-01,1004
1974-05-01,909
1974-06-01,979
1974-07-01,906
1974-08-01,817
1974-09-01,860
1974-10-01,770
1974-11-01,808
1974-12-01,760
1975-01-01,765
1975-02-01,667
1975-03-01,769
1975-04-01,787
1975-05-01,885
1975-06-01,872
1975-07-01,919
1975-08-01,973
1975-09-01,957
1975-10-01,1039
1975-11-01,1035
1975-12-01,1025
1976-01-01,1059
1976-02-01,1255
1976-03-01,1110
1976-04-01,1076
1976-05-01,1093
1976-06-01,1127
1976-07-01,1126
1976-08-01,1177
1976-09-01,1226
1976-10-01,1230
1976-11-01,1212
1976-12-01,1307
1977-01-01,1100
1977-02-01,1503
1977-03-01,1486
1977-04-01,1421
1977-05-01,1466
1977-06-01,1389
1977-07-01,1450
1977-08-01,1442
1977-09-01,1475
1977-10-01,1487
1977-11-01,1499
1977-12-01,1530
1978-01-01,1257
1978-02-01,1235
1978-03-01,1429
1978-04-01,1517
1978-05-01,1508
1978-06-01,1430
1978-07-01,1459
1978-08-01,1425
1978-09-01,1389
1978-10-01,1384
1978-11-01,1525
1978-12-01,1460
1979-01-01,1110
1979-02-01,1052
1979-03-01,1322
1979-04-01,1287
1979-05-01,1277
1979-06-01,1316
1979-07-01,1192
1979-08-01,1223
1979-09-01,1188
1979-10-01,1119
1979-11-01,957
1979-12-01,1016
1980-01-01,940
1980-02-01,809
1980-03-01,633
1980-04-01,645
1980-05-01,656
1980-06-01,772
1980-07-01,857
1980-08-01,992
1980-09-01,1019
1980-10-01,1009
1980-11-01,993
1980-12-01,935
1981-01-01,945
1981-02-01,806
1981-03-01,852
1981-04-01,907
1981-05-01,756
1981-06-01,696
1981-07-01,698
1981-08-01,611
1981-09-01,635
1981-10-01,523
1981-11-01,538
1981-12-01,563
1982-01-01,557
