DATE,MSPNHSUS
1963-01-01,17200
1963-02-01,17700
1963-03-01,18200
1963-04-01,18200
1963-05-01,17500
1963-06-01,18000
1963-07-01,18400
1963-08-01,17800
1963-09-01,17900
1963-10-01,17600
1963-11-01,18400
1963-12-01,18700
1964-01-01,17800
1964-02-01,18000
1964-03-01,19000
1964-04-01,18800
1964-05-01,19300
1964-06-01,18800
1964-07-01,19100
1964-08-01,18900
1964-09-01,18900
1964-10-01,18900
1964-11-01,19300
1964-12-01,21000
1965-01-01,20700
1965-02-01,20400
1965-03-01,19800
1965-04-01,19900
1965-05-01,19600
1965-06-01,19800
1965-07-01,21000
1965-08-01,20200
1965-09-01,19600
1965-10-01,19900
1965-11-01,20600
1965-12-01,20300
1966-01-01,21200
1966-02-01,20900
1966-03-01,20800
1966-04-01,23000
1966-05-01,22300
1966-06-01,21200
1966-07-01,21800
1966-08-01,20700
1966-09-01,22200
1966-10-01,20800
1966-11-01,21700
1966-12-01,21700
1967-01-01,22200
1967-02-01,22400
1967-03-01,22400
1967-04-01,22300
1967-05-01,23700
1967-06-01,23900
1967-07-01,23300
1967-08-01,21700
1967-09-01,22800
1967-10-01,22300
1967-11-01,23100
1967-12-01,22200
1968-01-01,23400
1968-02-01,23500
1968-03-01,24600
1968-04-01,24500
1968-05-01,25300
1968-06-01,25400
1968-07-01,24600
1968-08-01,25000
1968-09-01,25000
1968-10-01,25600
1968-11-01,24600
1968-12-01,26500
1969-01-01,24600
1969-02-01,26000
1969-03-01,26200
1969-04-01,25900
1969-05-01,26900
1969-06-01,25200
1969-07-01,26800
1969-08-01,24900
1969-09-01,26000
1969-10-01,24400
1969-11-01,24900
1969-12-01,25100
1970-01-01,23600
1970-02-01,24100
1970-03-01,24100
1970-04-01,24200
1970-05-01,25700
1970-06-01,23800
1970-07-01,22900
1970-08-01,23500
1970-09-01,22600
1970-10-01,22100
1970-11-01,23500
1970-12-01,22300
1971-01-01,23900
1971-02-01,24500
1971-03-01,24300
1971-04-01,25800
1971-05-01,25500
1971-06-01,26100
1971-07-01,25200
1971-08-01,25300
1971-09-01,25400
1971-10-01,25600
1971-11-01,25700
1971-12-01,25300
1972-01-01,24700
1972-02-01,26500
1972-03-01,27400
1972-04-01,26700
1972-05-01,27000
1972-06-01,26800
1972-07-01,27700
1972-08-01,28100
1972-09-01,28000
1972-10-01,28900
1972-11-01,29100
1972-12-01,29700
1973-01-01,29900
1973-02-01,29700
1973-03-01,31400
1973-04-01,32800
1973-05-01,32000
1973-06-01,33100
1973-07-01,34200
1973-08-01,33200
1973-09-01,33200
1973-10-01,33300
1973-11-01,34000
1973-12-01,35700
1974-01-01,34200
1974-02-01,34900
1974-03-01,36000
1974-04-01,35700
1974-05-01,35700
1974-06-01,35100
1974-07-01,36800
1974-08-01,35700
1974-09-01,36200
1974-10-01,37200
1974-11-01,37300
1974-12-01,37400
1975-01-01,37200
1975-02-01,37900
1975-03-01,38800
1975-04-01,39200
1975-05-01,39500
1975-06-01,37900
1975-07-01,38600
1975-08-01,38200
1975-09-01,39700
1975-10-01,40700
1975-11-01,41100
1975-12-01,42100
1976-01-01,41600
1976-02-01,42700
1976-03-01,43600
1976-04-01,43300
1976-05-01,43600
1976-06-01,46100
1976-07-01,44600
1976-08-01,44200
1976-09-01,44700
1976-10-01,45300
1976-11-01,45800
1976-12-01,45900
1977-01-01,45500
