DATE,QUSR628BIS
1970-01-01,61.83
1970-04-01,61.26
1970-07-01,61.53
1970-10-01,61.48
1971-01-01,62.68
1971-04-01,63.69
1971-07-01,63.7
1971-10-01,64.91
1972-01-01,64.63
1972-04-01,65.94
1972-07-01,66.61
1972-10-01,67.42
1973-01-01,69.53
1973-04-01,69.63
1973-07-01,69.88
1973-10-01,69.75
1974-01-01,69.5
1974-04-01,68.9
1974-07-01,68.66
1974-10-01,67.07
1975-01-01,67.63
1975-04-01,68.51
1975-07-01,68.28
1975-10-01,68.46
1976-01-01,66.79
1976-04-01,66.41
1976-07-01,68.01
1976-10-01,69.8
1977-01-01,71.4
1977-04-01,72.96
1977-07-01,74.52
1977-10-01,76.15
1978-01-01,77.67
1978-04-01,78.43
1978-07-01,79.49
1978-10-01,80.61
1979-01-01,81.88
1979-04-01,82.56
1979-07-01,82.99
1979-10-01,83.49
1980-01-01,82.08
1980-04-01,80.62
1980-07-01,81.21
1980-10-01,80.8
1981-01-01,80.19
1981-04-01,79.46
1981-07-01,77.94
1981-10-01,77.61
1982-01-01,77.4
1982-04-01,76.35
1982-07-01,75.0
1982-10-01,75.29
1983-01-01,76.11
1983-04-01,76.17
1983-07-01,76.31
1983-10-01,76.59
1984-01-01,76.72
1984-04-01,76.84
1984-07-01,76.93
1984-10-01,77.05
1985-01-01,77.54
1985-04-01,77.89
1985-07-01,78.42
1985-10-01,79.22
1986-01-01,80.56
1986-04-01,82.36
1986-07-01,83.64
1986-10-01,84.93
1987-01-01,86.19
1987-04-01,87.09
1987-07-01,87.95
1987-10-01,88.96
1988-01-01,89.92
1988-04-01,90.94
1988-07-01,92.29
1988-10-01,93.63
1989-01-01,94.62
1989-04-01,94.43
1989-07-01,94.93
1989-10-01,95.35
1990-01-01,94.74
1990-04-01,93.98
1990-07-01,92.1
1990-10-01,90.13
1991-01-01,88.9
1991-04-01,88.64
1991-07-01,87.88
1991-10-01,86.98
1992-01-01,86.52
1992-04-01,85.66
1992-07-01,84.89
1992-10-01,84.55
1993-01-01,84.08
1993-04-01,83.78
1993-07-01,84.04
1993-10-01,84.18
1994-01-01,83.99
1994-04-01,83.9
1994-07-01,83.58
1994-10-01,83.53
1995-01-01,83.22
1995-04-01,82.98
1995-07-01,83.23
1995-10-01,83.33
1996-01-01,83.24
1996-04-01,83.02
1996-07-01,83.03
1996-10-01,82.96
1997-01-01,83.07
1997-04-01,83.57
1997-07-01,84.27
1997-10-01,85.23
1998-01-01,86.51
1998-04-01,87.37
1998-07-01,88.55
1998-10-01,89.87
1999-01-01,90.92
1999-04-01,91.81
1999-07-01,93.07
1999-10-01,94.46
2000-01-01,95.88
2000-04-01,97.28
2000-07-01,98.64
2000-10-01,100.32
2001-01-01,101.66
2001-04-01,102.46
2001-07-01,104.24
2001-10-01,106.25
2002-01-01,107.82
2002-04-01,109.39
2002-07-01,111.62
2002-10-01,113.65
2003-01-01,114.76
2003-04-01,116.81
2003-07-01,119.6
2003-10-01,123.5
2004-01-01,126.63
2004-04-01,129.68
2004-07-01,133.82
2004-10-01,137.93
2005-01-01,142.74
2005-04-01,146.41
2005-07-01,149.64
2005-10-01,153.2
2006-01-01,154.82
2006-04-01,151.78
2006-07-01,149.8
2006-10-01,150.69
2007-01-01,147.54
2007-04-01,140.62
2007-07-01,135.96
2007-10-01,130.72
2008-01-01,123.99
2008-04-01,115.59
2008-07-01,109.0
2008-10-01,106.46
2009-01-01,103.84
2009-04-01,102.69
2009-07-01,102.44
2009-10-01,102.59
2010-01-01,102.18
2010-04-01,101.04
2010-07-01,99.03
2010-10-01,97.78
2011-01-01,95.69
2011-04-01,93.72
2011-07-01,93.77
2011-10-01,93.94
2012-01-01,94.21
2012-04-01,95.71
2012-07-01,97.42
2012-10-01,99.46
2013-01-01,101.38
2013-04-01,103.53
2013-07-01,105.65
2013-10-01,108.1
2014-01-01,108.63
2014-04-01,108.08
2014-07-01,109.41
2014-10-01,112.03
2015-01-01,114.07
2015-04-01,114.08
2015-07-01,115.4
2015-10-01,117.57
2016-01-01,118.97
2016-04-01,118.96
2016-07-01,120.28
2016-10-01,122.01
2017-01-01,122.6
2017-04-01,123.56
2017-07-01,125.15
2017-10-01,126.85
2018-01-01,127.7
2018-04-01,127.73
2018-07-01,128.42
2018-10-01,129.72
